pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
35,621381,"Strahm, Matt",341,10.3,0.056,0.056,0.077,0.111,0.07,0.166,0.16,1,18,82.2,23.1,2687,82.9,82.96,7,35,0,0.1,6.17,113,155,117,150,290,324,294
35,572955,"Johnson, Pierce",138,25.4,0.308,0,0.444,0.308,0.273,0.234,0.25,4,13,82.2,8.7,2879,84.7,83.58,10,35,0,-1.1,5.67,115,164,131,151,294,322,302
34,669923,"Kirby, George",805,4.2,0.182,0.045,0.182,0.227,0.171,0.352,0.296,4,22,86.7,1,2194,80,80.34,3,34,0,0.3,6.76,112,153,118,148,292,322,294
34,502171,"Cobb, Alex",671,5.1,0.545,0.545,0.5,1.091,0.698,0.502,0.354,6,11,91.6,2.3,2658,83.6,82.84,12,34,0,-0.8,5.81,106,152,109,147,300,324,296
34,605540,"Woodruff, Brandon",810,4.2,0.364,0.455,0.3,0.818,0.498,0.436,0.338,4,11,95.5,14.8,2570,83.9,84.19,7,34,0,0.3,6.47,110,154,120,145,294,314,293
34,518748,"Grimm, Justin",277,12.3,0.25,0.188,0.3,0.438,0.295,0.242,0.206,4,16,79.3,-2.3,2219,81.7,82.27,12,34,0,0.6,6.87,112,149,122,151,293,317,301
33,641726,"Jefferies, Daulton",611,5.4,0.313,0.375,0.364,0.688,0.421,0.304,0.252,5,16,87.1,19.3,2355,80.2,79.55,13,33,0,-0.7,5.8,112,152,124,149,298,315,295
32,676879,"Ashby, Aaron",968,3.3,0.083,0,0.111,0.083,0.074,0.083,0.073,1,12,84.6,-16.2,2583,80.2,78.94,14,32,0,-1.3,5.61,107,153,118,146,298,317,294
31,519151,"Pressly, Ryan",269,11.5,0.222,0.167,0.231,0.389,0.249,0.375,0.347,4,18,88.9,2.7,3236,80.3,79.21,10,31,0,-1.1,5.97,108,155,116,150,292,326,294
31,607755,"Vasquez, Andrew",118,26.3,0.25,0.188,0.273,0.438,0.295,0.313,0.256,4,16,86.6,9.5,2601,79.8,79.01,12,31,0,-0.8,6.15,108,148,118,147,291,317,296
31,592836,"Walker, Taijuan",938,3.3,0.25,0.083,0.25,0.333,0.253,0.258,0.274,3,12,84.1,6.8,2236,75.7,74.69,6,31,0,-1,5.76,110,161,113,148,298,329,309
31,605200,"Davies, Zach",1242,2.5,0.471,0,0.5,0.471,0.417,0.254,0.272,8,17,81.4,4.9,2572,74.9,74.15,5,31,0,-0.8,5.97,112,153,119,148,308,321,299
31,665001,"Kelley, Trevor",283,11,0.214,0.286,0.25,0.5,0.301,0.123,0.105,3,14,81.9,36.6,2546,78.4,78.69,13,31,0,0.3,6.55,110,152,118,146,297,319,297
31,543294,"Hendricks, Kyle",1093,2.8,0.467,0.267,0.462,0.733,0.517,0.327,0.307,7,15,88.3,1.4,3008,73.2,71.47,10,31,0,-1.7,5.52,112,152,116,157,292,315,294
31,668868,"Thompson, Zack",255,12.2,0.167,0,0.2,0.167,0.148,0.286,0.313,2,12,75.4,-11.6,2816,75.1,74.97,3,31,0,-0.1,6.52,117,154,121,153,288,320,301
31,669952,"White, Mitch",413,7.5,0.222,0.333,0.2,0.556,0.328,0.333,0.272,4,18,86.9,12.3,2305,80.2,79.49,12,31,0,-0.7,6.07,113,157,120,151,289,315,297
30,547943,"Ryu, Hyun Jin",395,7.6,0.231,0.154,0.273,0.385,0.262,0.264,0.203,3,13,88.7,10.6,2566,72.4,71.98,4,30,0,-0.4,6.41,107,158,121,149,302,315,294
30,680694,"Bradish, Kyle",832,3.6,0.429,0.071,0.462,0.5,0.407,0.401,0.346,6,14,96,11,2501,81.9,81.8,7,30,0,-0.1,6.43,104,153,110,148,300,324,297
30,657649,"Koenig, Jared",261,11.5,0.176,0.176,0.2,0.353,0.208,0.24,0.242,3,17,84.8,11.7,2217,77.4,77.5,4,30,0,0.1,6.43,115,145,112,145,302,322,294
30,681885,"Lee, Evan",165,18.2,0.158,0,0.214,0.158,0.14,0.243,0.229,3,19,88.2,16.4,2725,80.3,79.56,9,30,0,-0.7,5.85,116,154,119,147,302,326,297
29,642547,"Peralta, Freddy",701,4.1,0.3,0.2,0.6,0.5,0.337,0.265,0.258,3,10,93,7.6,2086,77.3,78.23,13,29,0,0.9,7.03,110,154,123,143,299,317,292
29,643493,"Pruitt, Austin",185,15.7,0.176,0.294,0.133,0.471,0.27,0.435,0.363,3,17,94.4,12.6,2828,80.9,79.79,5,29,0,-1.1,5.59,119,152,122,151,298,315,291
28,664062,"Gonsolin, Tony",1063,2.6,0.167,0.167,0.25,0.333,0.21,0.136,0.125,1,6,92.9,2,2551,81.2,80.91,9,28,0,-0.3,6.02,113,157,125,151,287,317,296
28,656657,"Logue, Zach",449,6.2,0.316,0.368,0.385,0.684,0.419,0.302,0.226,6,19,86.8,36.7,2453,76.8,75.36,8,28,0,-1.4,5.39,108,151,124,149,296,314,288
28,622503,"Crismatt, Nabil",487,5.7,0.188,0,0.25,0.188,0.166,0.162,0.164,3,16,85.2,9.6,2228,72.7,72.99,8,28,0,0.3,7.02,111,162,122,151,298,322,301
27,657248,"Otto, Glenn",711,3.8,0.267,0.133,0.333,0.4,0.287,0.247,0.245,4,15,86.5,16.4,2431,80.6,81.09,8,27,0,0.5,6.75,112,155,121,150,293,316,297
27,605151,"Bradley, Archie",254,10.6,0.308,0,0.364,0.308,0.273,0.255,0.253,4,13,86.8,12.2,1978,79.8,80.04,4,27,0,0.2,6.56,113,149,112,152,297,322,291
27,669674,"Long, Sam",406,6.7,0.143,0,0.143,0.143,0.127,0.295,0.3,2,14,92.4,17.6,2517,77,76.47,5,27,0,-0.5,5.95,109,151,116,146,300,322,291
27,661269,"Gutierrez, Vladimir",684,3.9,0.333,0.333,0.4,0.667,0.418,0.358,0.305,4,12,88,5.7,2520,78.6,78.36,3,27,0,-0.2,6.37,124,151,116,145,290,318,294
27,621074,"Rucker, Michael",342,7.9,0.333,0,0.412,0.333,0.295,0.285,0.289,7,21,83.8,-0.4,2509,81.1,80.54,5,27,0,-0.6,5.97,111,152,123,156,296,322,295
27,621076,"Kaprielian, James",803,3.4,0.25,0.333,0.182,0.583,0.351,0.475,0.328,3,12,91.2,28.9,2467,79.3,79.07,3,27,0,-0.2,6.06,118,149,120,151,290,313,294
26,523260,"Kelly, Joe",147,17.7,0.308,0,0.444,0.308,0.273,0.161,0.178,4,13,72.7,-12,2851,88.9,88.43,10,26,0,-0.5,5.8,109,153,119,148,303,329,298
26,669461,"Liberatore, Matthew",340,7.6,0.267,0.4,0.25,0.667,0.394,0.203,0.185,4,15,90.9,24.5,2684,73.9,73.45,10,26,0,-0.4,6.25,109,154,120,147,302,323,300
26,657376,"Schmidt, Clarke",381,6.8,0,0,0,0,0,0.241,0.219,0,11,87.8,13.8,2905,82.8,81.84,8,26,0,-1,5.9,115,150,122,150,288,321,285
26,554340,"Garcia, Yimi",437,5.9,0.5,0.5,0.5,1,0.638,0.412,0.359,8,16,91,22.9,2699,82.3,81.32,7,26,0,-1,5.73,110,162,123,148,292,318,296
25,663423,"Thornton, Trent",412,6.1,0.263,0.053,0.313,0.316,0.253,0.299,0.3,5,19,88.2,6.8,3038,79.5,78.83,6,25,0,-0.7,6.04,110,175,131,152,280,320,307
24,642528,"Loáisiga, Jonathan",279,8.6,0.125,0.375,0,0.5,0.259,0.305,0.255,1,8,86.7,25.5,2617,87,87.21,8,24,0,0.2,6.49,106,152,120,149,307,327,285
24,656529,"Hentges, Sam",346,6.9,0.083,0,0.111,0.083,0.074,0.162,0.18,1,12,82.5,-15.9,2502,81,81.45,7,24,0,0.4,6.65,108,152,123,147,296,315,288
24,592804,"Thornburg, Tyler",272,8.8,0.333,0.111,0.375,0.444,0.337,0.329,0.311,3,9,84.4,12.6,2618,76.3,75.95,5,24,0,-0.3,6.29,111,151,120,148,303,332,293
24,664299,"Javier, Cristian",982,2.4,0.455,0.364,0.4,0.818,0.499,0.301,0.296,5,11,83.1,25.2,2917,76.3,75.6,6,24,0,-0.7,6.02,116,157,124,151,291,325,293
24,666374,"Brash, Matt",391,6.1,0.286,0.071,0.4,0.357,0.28,0.316,0.313,4,14,90.6,-1.4,2925,83,82.85,8,24,0,-0.2,6.45,116,155,122,146,290,320,300
24,663978,"Paddack, Chris",367,6.5,0.438,0.125,0.5,0.563,0.432,0.306,0.283,7,16,82.1,-0.6,2108,76.1,75.95,6,24,0,-0.1,6.58,105,155,117,149,302,335,297
24,622608,"Senzatela, Antonio",893,2.7,0,0,0,0,0,0.223,0.196,0,14,89.9,25.8,2189,77.1,77.03,5,24,0,-0.1,5.85,113,153,119,150,303,335,303
24,641927,"Ober, Bailey",526,4.6,0.077,0.077,0.091,0.154,0.09,0.181,0.187,1,13,88.5,13.3,2240,76.6,77.5,6,24,0,0.9,7.1,104,154,115,149,295,331,299
24,453286,"Scherzer, Max",759,3.2,0.3,0,0.375,0.3,0.266,0.342,0.35,3,10,89.7,15,2739,76.1,75.69,5,24,0,-0.4,6.11,118,161,118,149,293,328,304
24,666157,"Lodolo, Nick",248,9.7,0.333,0.278,0.5,0.611,0.403,0.146,0.146,6,18,80.5,18.5,2711,82.6,82.73,9,24,0,0.1,6.33,114,150,119,146,290,307,284
23,605483,"Snell, Blake",564,4.1,0.182,0,0.286,0.182,0.161,0.252,0.22,2,11,83.5,17.9,2243,79.6,79.54,10,23,0,-0.1,6.53,112,155,119,149,296,323,306
23,621363,"Poche, Colin",342,6.7,0.154,0.231,0.1,0.385,0.227,0.245,0.21,2,13,80.3,41.2,2626,78,75.43,3,23,0,-2.6,7.11,111,160,118,150,305,328,294
23,506433,"Darvish, Yu",1251,1.8,0.2,0,0.182,0.2,0.161,0.172,0.195,2,10,75.3,6,2619,73.2,73.27,5,23,0,0.1,6.7,116,167,122,156,289,319,304
23,592789,"Syndergaard, Noah",895,2.6,0.25,0.125,0.4,0.375,0.269,0.268,0.276,2,8,85.8,24,2176,76.3,76.7,11,23,0,0.4,6.7,119,153,118,158,298,326,296
22,624133,"Suárez, Ranger",1266,1.7,0.3,0.6,0.333,0.9,0.493,0.339,0.244,3,10,88.2,14.3,2207,77.3,76.95,3,22,0,-0.4,6.14,107,148,115,144,304,326,286
22,677651,"Garcia, Luis",1086,2,0.1,0.2,0.125,0.3,0.16,0.112,0.105,1,10,76.4,30.6,2548,79,78.57,7,22,0,-0.4,6.06,116,162,121,152,290,323,296
22,676596,"Fleming, Josh",355,6.2,0.444,0.556,0.429,1,0.609,0.542,0.419,4,9,90,6.5,1878,79.8,79.69,5,22,0,-0.1,6.47,104,154,117,150,297,317,295
21,521230,"Hendriks, Liam",440,4.8,0.2,0,0.4,0.2,0.177,0.152,0.152,2,10,83.9,13,2087,85,86.04,10,21,0,1,6.85,111,147,108,147,298,324,300
21,623167,"Flexen, Chris",1146,1.8,0.636,0.727,0.556,1.364,0.777,0.667,0.474,7,11,93.3,24.5,2643,74.9,74.19,2,21,0,-0.7,6.01,107,150,119,144,296,324,296
