,pitches,player_id,player_name,total_pitches,pitch_percent,hits,whiffs,swings,takes
347,64,657508,"Baumann, Mike",216,29.6,8.0,12,64,0
348,63,571656,"Farmer, Buck",265,23.8,8.0,17,63,0
349,63,670912,"Oviedo, Johan",284,22.2,9.0,8,63,0
350,63,489119,"Miley, Wade",271,23.2,6.0,9,63,0
351,62,656945,"Scott, Tanner",567,10.9,4.0,15,62,0
352,62,595345,"Okert, Steven",457,13.6,5.0,8,62,0
353,61,643410,"Leiter Jr., Mark",376,16.2,11.0,11,61,0
354,61,676760,"Marinaccio, Ron",310,19.7,3.0,12,61,0
355,61,670167,"Schreiber, John",353,17.3,1.0,21,61,0
356,60,628452,"Iglesias, Raisel",378,15.9,4.0,23,60,0
357,60,681799,"Roberts, Ethan",177,33.9,5.0,11,60,0
358,60,675921,"Howard, Spencer",139,43.2,10.0,13,60,0
359,60,664294,"Moreta, Dauri",312,19.2,5.0,16,60,0
360,59,598264,"Barnes, Matt",308,19.2,7.0,16,59,0
361,59,664042,"Lakins Sr., Travis",208,28.4,9.0,12,59,0
362,59,607625,"Lugo, Seth",474,12.4,7.0,12,59,0
363,59,621114,"Burr, Ryan",149,39.6,7.0,12,59,0
364,58,605130,"Barlow, Scott",544,10.7,9.0,6,58,0
365,57,621381,"Strahm, Matt",358,15.9,4.0,17,57,0
366,57,660906,"Perez, Francisco",205,27.8,12.0,8,57,0
367,56,606625,"Moronta, Reyes",186,30.1,6.0,8,56,0
368,56,621249,"Underwood Jr., Duane",275,20.4,5.0,13,56,0
369,56,606303,"Payamps, Joel",454,12.3,4.0,17,56,0
370,55,669276,"Lee, Dylan",212,25.9,5.0,14,55,0
371,55,656730,"Megill, Trevor",187,29.4,6.0,11,55,0
372,54,664054,"Stashak, Cody",227,23.8,10.0,9,54,0
373,53,571760,"Heaney, Andrew",233,22.7,3.0,17,53,0
374,53,543272,"Hand, Brad",412,12.9,5.0,11,53,0
375,52,622250,"Sborz, Josh",208,25.0,7.0,14,52,0
376,52,669618,"Barlow, Joe",390,13.3,5.0,13,52,0
377,52,493603,"Ottavino, Adam",486,10.7,6.0,13,52,0
378,51,656353,"Davidson, Tucker",280,18.2,10.0,11,51,0
379,51,592390,"Hembree, Heath",301,16.9,11.0,7,51,0
380,51,519151,"Pressly, Ryan",284,18.0,9.0,7,51,0
381,51,501925,"Smith, Joe",362,14.1,5.0,8,51,0
382,51,446321,"Detwiler, Ross",169,30.2,4.0,11,51,0
383,50,669459,"Nelson, Kyle",344,14.5,4.0,5,50,0
384,50,596071,"Peters, Dillon",405,12.3,5.0,10,50,0
385,49,503449,"Peralta, Wily",513,9.6,5.0,6,49,0
386,48,661527,"Martinez, Seth",256,18.8,2.0,9,48,0
387,48,547001,"Poteet, Cody",400,12.0,5.0,16,48,0
388,47,547973,"Chapman, Aroldis",262,17.9,5.0,14,47,0
389,47,605200,"Davies, Zach",1317,3.6,7.0,9,47,0
390,47,621248,"Garza Jr., Ralph",371,12.7,8.0,8,47,0
391,47,572403,"VerHagen, Drew",383,12.3,7.0,11,47,0
392,47,666214,"Wentz, Joey",128,36.7,4.0,12,47,0
393,47,669461,"Liberatore, Matthew",340,13.8,6.0,10,47,0
394,46,518748,"Grimm, Justin",277,16.6,10.0,7,46,0
395,45,668873,"Kilian, Caleb",235,19.1,3.0,8,45,0
396,45,681217,"Silseth, Chase",276,16.3,7.0,9,45,0
397,45,670810,"Gillaspie, Logan",172,26.2,9.0,7,45,0
398,45,572070,"Richards, Garrett",424,10.6,8.0,7,45,0
399,44,543507,"May, Trevor",154,28.6,8.0,5,44,0
400,44,621389,"Blach, Ty",495,8.9,1.0,13,44,0
401,44,686752,"Pepiot, Ryan",248,17.7,1.0,17,44,0
402,44,666818,"Frías, Luis",142,31.0,7.0,10,44,0
403,44,605151,"Bradley, Archie",305,14.4,6.0,14,44,0
404,44,592717,"Sanchez, Aaron",532,8.3,4.0,6,44,0
405,43,656887,"Reid-Foley, Sean",196,21.9,4.0,14,43,0
406,42,656427,"Flaherty, Jack",180,23.3,5.0,5,42,0
407,42,543056,"Coulombe, Danny",230,18.3,3.0,7,42,0
408,42,664141,"Brubaker, JT",1264,3.3,7.0,7,42,0
409,41,657265,"Strzelecki, Peter",157,26.1,4.0,8,41,0
410,40,641540,"Dunning, Dane",1322,3.0,4.0,13,40,0
411,40,607179,"Weems, Jordan",153,26.1,3.0,9,40,0
412,40,622503,"Crismatt, Nabil",533,7.5,6.0,6,40,0
413,40,657376,"Schmidt, Clarke",381,10.5,6.0,9,40,0
414,40,544727,"Familia, Jeurys",443,9.0,6.0,14,40,0
415,39,643316,"Fry, Paul",232,16.8,3.0,13,39,0
416,39,660623,"Ynoa, Huascar",147,26.5,5.0,8,39,0
417,39,657649,"Koenig, Jared",344,11.3,3.0,6,39,0
418,39,666129,"Garrett, Braxton",324,12.0,2.0,8,39,0
419,38,667463,"King, John",482,7.9,7.0,11,38,0
420,38,663554,"Mize, Casey",169,22.5,6.0,4,38,0
421,38,665665,"Sanmartin, Reiver",421,9.0,6.0,5,38,0
422,37,657571,"Ferguson, Caleb",94,39.4,0.0,14,37,0
423,37,656818,"Overton, Connor",341,10.9,4.0,6,37,0
424,36,628708,"Marte, Yunior",214,16.8,4.0,6,36,0
425,35,657044,"Thompson, Ryan",405,8.6,3.0,6,35,0
426,35,676596,"Fleming, Josh",355,9.9,3.0,7,35,0
427,35,592716,"Sampson, Adrian",154,22.7,2.0,13,35,0
428,35,657612,"Hill, Tim",275,12.7,3.0,9,35,0
429,35,670046,"Rosenberg, Kenny",193,18.1,4.0,4,35,0
430,35,607457,"Barraclough, Kyle",139,25.2,4.0,11,35,0
431,35,671345,"Foley, Jason",373,9.4,5.0,6,35,0
432,35,571670,"Floro, Dylan",279,12.5,2.0,6,35,0
433,34,607237,"Garrett, Amir",334,10.2,2.0,6,34,0
434,34,668948,"McCarty, Kirk",116,29.3,8.0,9,34,0
435,34,680704,"Sandlin, Nick",361,9.4,4.0,6,34,0
436,34,642100,"Speier, Gabe",298,11.4,5.0,8,34,0
437,34,663989,"Vespi, Nick",156,21.8,3.0,10,34,0
438,34,670990,"Ramirez, Yohan",198,17.2,4.0,13,34,0
439,34,642203,"Widener, Taylor",90,37.8,5.0,4,34,0
440,34,672911,"Cruz, Jesús",108,31.5,3.0,8,34,0
441,34,676664,"Sears, JP",110,30.9,4.0,9,34,0
